Minutes jouées,Fatigue (%),Heures d’entraînement,Âge,Historique de blessures musculaires,Intensité des matchs (RPE),Position,Type de terrain,Température (°C),Humidité (%),Blessure musculaire
2140,85.12,10.8,20,0,7.4,Gardien,Synthétique,34.14195285328533,86.94895001093948,1
1617,92.31,11.1,28,0,8.0,Milieu,Naturel,21.790804348072555,75.47400538183254,1
2809,84.42,8.5,23,1,8.9,Attaquant,Naturel,12.934023874200298,35.39985961862831,1
2574,91.14,13.6,22,0,7.2,Milieu,Naturel,33.82507714114024,40.82001384976046,1
2229,100.0,5.0,24,0,7.8,Attaquant,Synthétique,28.177373720279576,87.57815451509467,1
2782,93.4,10.1,25,0,6.9,Gardien,Synthétique,16.584516322586623,44.04120502574685,1
2367,93.79,8.5,31,0,5.8,Attaquant,Synthétique,24.3077755092325,39.9990320217303,0
1187,94.39,6.5,21,0,8.5,Défenseur,Naturel,25.459795651055032,35.753508166471484,1
1742,75.44,9.0,19,0,7.6,Milieu,Synthétique,31.84506994508068,82.30453347956315,1
2256,84.59,7.4,21,1,6.9,Attaquant,Mauvais,23.740626997172917,45.59256211758023,1
1351,76.95,8.3,24,0,5.0,Milieu,Naturel,23.84836104288592,47.11261907509497,0
3000,91.57,9.9,23,0,6.5,Attaquant,Naturel,29.746346618054105,42.929101156128304,1
1598,76.16,9.0,19,0,6.8,Attaquant,Synthétique,19.305785832374596,48.091086665686554,1
1579,97.54,8.6,29,0,7.6,Gardien,Naturel,16.095520843665312,32.47167569871687,1
1348,88.14,10.5,28,0,7.4,Milieu,Synthétique,34.51170573605806,70.66038059058982,1
2823,100.0,9.4,29,0,8.1,Milieu,Synthétique,25.746626932094138,64.04904480528184,1
2202,82.03,12.5,35,1,6.9,Gardien,Naturel,18.10297169635578,74.89692891151145,1
1769,100.0,10.3,29,1,8.0,Défenseur,Synthétique,31.526785804991995,81.53214309901392,1
2184,89.08,7.7,30,1,6.9,Attaquant,Naturel,30.14805843116508,30.676627681980445,1
1232,82.31,9.0,21,0,6.9,Défenseur,Synthétique,29.569448804148195,40.03250816433266,0
920,79.28,11.3,23,0,7.0,Gardien,Synthétique,20.52773287773258,38.15235556089387,1
1262,79.19,9.1,26,0,7.0,Milieu,Naturel,13.378268194564976,68.10302766801614,0
2631,76.31,11.7,24,1,7.8,Milieu,Naturel,14.876267148975916,30.22091470579437,1
1260,78.29,12.6,25,0,6.1,Attaquant,Naturel,22.69801065527536,34.677531619903206,0
2489,90.74,11.3,20,0,8.5,Défenseur,Naturel,34.87899806331103,53.18452562297715,1
1378,73.21,12.1,33,0,10.0,Milieu,Naturel,14.117601650040001,45.031658157757995,0
1350,87.93,10.4,19,0,6.5,Défenseur,Naturel,33.29301858403269,34.54701730918316,0
3000,84.87,9.1,18,0,5.1,Défenseur,Naturel,24.1853757737297,44.955065993609026,0
2619,100.0,6.5,33,0,6.8,Attaquant,Naturel,25.64461305504085,48.60373040054358,1
1976,89.24,9.3,25,0,10.0,Attaquant,Naturel,30.22619477346332,61.59953214546584,0
1780,100.0,8.3,23,1,7.7,Milieu,Naturel,15.158681044351058,33.50494146651872,0
1577,85.08,8.5,18,0,4.4,Milieu,Synthétique,30.580254479100965,65.33374446025248,1
1589,96.2,5.8,20,0,9.3,Attaquant,Naturel,32.3606435357122,68.7858814639156,1
2454,80.2,12.6,22,1,7.7,Milieu,Naturel,24.804198229665623,51.188878834290875,1
1453,93.02,10.5,18,1,7.7,Gardien,Naturel,26.795491165981282,52.1826613947589,1
1785,75.16,11.2,25,1,7.4,Milieu,Synthétique,33.60761065469312,44.69951921289561,1
1654,73.8,8.1,29,1,7.7,Milieu,Naturel,25.747430942482566,40.026157845157066,1
1474,100.0,14.7,23,1,9.8,Milieu,Mauvais,32.35328755627526,84.34779986685166,1
2399,94.37,8.8,24,0,7.5,Milieu,Synthétique,13.133763372124188,60.96342321950148,0
1365,77.39,10.8,23,0,7.2,Milieu,Synthétique,19.76293000168377,79.62704129253586,0
3000,95.41,11.9,32,0,6.9,Milieu,Naturel,28.789044816562193,68.08686323085342,0
2575,100.0,10.0,25,0,7.3,Attaquant,Naturel,34.860534693790115,61.87149122004196,1
2437,100.0,8.9,21,1,10.0,Défenseur,Synthétique,25.601530314477934,44.72539064843264,1
3000,100.0,9.1,27,1,8.1,Milieu,Naturel,29.221604987629117,61.63947237981729,1
1527,92.62,7.8,25,0,7.4,Milieu,Naturel,31.341968221380252,35.99178474867347,0
2719,93.28,12.0,21,0,6.9,Milieu,Synthétique,11.252800492224502,45.07610148614652,1
1263,85.89,9.7,20,0,9.6,Défenseur,Naturel,18.41253987056787,35.95732826633905,1
1403,64.76,6.5,20,0,7.8,Milieu,Synthétique,26.284626078316474,63.34587650771267,0
1789,100.0,14.9,28,0,7.3,Attaquant,Synthétique,32.189996989581886,58.83457214982556,1
1073,65.4,12.1,20,0,7.1,Défenseur,Mauvais,12.282568375171294,56.260980329826076,1
2549,93.72,7.5,30,0,7.9,Défenseur,Synthétique,24.43724122036962,75.30731847917687,1
1075,86.09,10.3,32,0,10.0,Milieu,Naturel,15.203906645307915,85.07193042269189,0
1570,81.08,8.3,18,0,8.7,Milieu,Naturel,21.59386025886932,58.62513996110813,0
1232,89.42,8.4,23,1,5.4,Milieu,Mauvais,34.15857047896675,62.44058816585773,1
2871,94.43,11.4,25,0,8.2,Attaquant,Naturel,34.62968812744536,34.08313060008914,1
2453,89.16,9.2,23,1,6.5,Milieu,Synthétique,19.719156607763317,56.964751075177304,1
3000,100.0,10.5,24,0,8.1,Gardien,Naturel,15.496785910860636,55.19803217033623,0
2377,99.06,8.5,33,1,6.1,Défenseur,Synthétique,25.270823651400534,30.769915912546022,1
2270,89.55,10.1,27,0,6.2,Gardien,Mauvais,29.39199933669322,81.46353570401939,1
2533,95.06,13.1,34,0,7.7,Milieu,Naturel,28.24095348614161,69.53008581267704,1
2624,88.36,7.0,27,1,7.5,Attaquant,Mauvais,23.739895484699428,35.45224013723597,1
1703,81.62,12.6,25,0,7.4,Défenseur,Naturel,29.62088415150544,76.980605735006,0
2791,85.58,7.5,25,0,6.8,Attaquant,Naturel,33.25745960662454,88.96894153240582,1
2304,100.0,6.3,29,0,9.3,Gardien,Synthétique,28.90615509883806,39.919868392388544,1
2121,82.03,6.6,30,1,6.0,Gardien,Synthétique,24.85981715721039,68.48818153869405,1
1674,92.21,10.4,32,0,6.7,Milieu,Synthétique,30.05810872104258,49.28398301663326,1
2555,92.14,10.9,18,0,7.8,Défenseur,Naturel,24.028982993284977,46.231234771345896,0
2924,100.0,12.4,19,0,6.3,Milieu,Naturel,13.289730140372471,43.435728492723804,0
1433,87.17,7.0,33,0,7.8,Milieu,Naturel,11.182818624726476,84.99708800818269,0
2036,78.54,12.5,26,1,5.1,Attaquant,Synthétique,20.757292578283277,36.629094237765116,1
2767,91.58,9.1,31,0,4.1,Attaquant,Synthétique,31.780699573955232,66.38481722677173,1
2486,90.9,10.0,18,0,7.9,Milieu,Naturel,29.719819662208682,30.111563834797593,1
1773,90.65,8.8,31,1,3.1,Attaquant,Naturel,34.207690910137444,69.44712386440547,1
2614,94.18,5.8,20,1,7.2,Milieu,Naturel,33.54638694607202,42.111287443525285,1
1278,68.83,8.9,35,1,7.8,Milieu,Synthétique,18.298100004762425,47.90779370514163,1
1513,89.13,13.3,29,0,9.3,Défenseur,Naturel,11.008601155961749,74.22635140915284,0
1250,69.78,6.5,25,1,8.7,Milieu,Synthétique,14.57423839929651,57.78677102903477,1
1266,87.01,10.4,18,0,6.2,Défenseur,Naturel,21.911326046579898,82.8345603034404,0
1533,72.7,10.5,31,1,7.9,Gardien,Naturel,15.371668627233682,67.87233218171266,1
2547,100.0,13.3,28,0,7.2,Défenseur,Naturel,11.483375388860647,52.896748228210555,1
782,69.86,10.3,23,0,4.7,Milieu,Naturel,22.169328343686097,38.7113420569293,1
1561,89.61,11.0,28,0,5.9,Gardien,Synthétique,27.346984504424938,86.49623831001188,1
1491,94.93,10.6,20,0,4.0,Défenseur,Naturel,33.093728734906165,60.64550413117691,1
1619,94.61,6.1,35,0,6.3,Gardien,Synthétique,28.033479296345238,63.915033749072954,1
1695,73.81,12.9,26,0,7.9,Attaquant,Synthétique,18.72919161935298,72.43685093854992,1
1173,59.38,8.6,22,0,5.5,Attaquant,Synthétique,10.309661690624877,30.25718853657598,1
2709,93.68,8.4,26,0,8.3,Milieu,Naturel,16.553132832788734,39.61930751598088,0
1193,100.0,10.4,20,0,7.4,Milieu,Naturel,12.717852945240393,41.84519811240437,0
1725,89.15,8.6,22,0,7.5,Défenseur,Naturel,16.220080954381,33.69938125057363,0
2374,97.86,10.7,18,1,8.6,Attaquant,Naturel,12.869286628401952,77.48918297437457,1
3000,91.84,7.8,29,0,7.1,Défenseur,Naturel,22.584487151939488,63.23101923389329,1
2038,88.13,11.3,21,1,7.2,Milieu,Naturel,11.773207840199229,60.54431969019212,1
1076,82.82,8.4,34,1,6.0,Gardien,Naturel,22.009923504046505,77.22858705817237,1
1282,82.25,14.1,19,0,7.4,Milieu,Mauvais,10.382509675751647,38.14852322251273,1
2216,75.13,10.8,19,1,6.3,Défenseur,Synthétique,32.147096490781436,74.72361444097703,1
2412,85.9,11.1,20,1,7.7,Gardien,Naturel,21.578390211657332,33.33976397963013,1
2399,76.29,7.6,18,1,5.2,Défenseur,Naturel,29.99259130439482,40.41165780131337,1
2755,97.98,10.2,29,0,5.7,Gardien,Naturel,33.263013228698625,35.57319304015939,1
1402,74.16,5.7,30,1,5.2,Milieu,Naturel,10.950079845376587,43.200158839943214,1
1971,86.26,10.9,32,0,8.5,Attaquant,Synthétique,17.171710102986374,70.38534889119333,1
2445,100.0,10.8,20,0,8.4,Milieu,Naturel,12.67710701048155,46.44646165760474,1
2601,100.0,5.5,25,0,7.2,Défenseur,Naturel,18.999249890517163,67.70325190847737,1
1350,100.0,10.7,18,0,6.7,Défenseur,Naturel,10.24131234677292,64.82920302954558,0
1933,99.39,13.7,28,1,5.3,Défenseur,Synthétique,22.016705158701065,43.33414051624159,1
2101,94.3,6.7,21,0,6.2,Milieu,Naturel,24.608762615817614,77.4492079685223,0
2515,80.11,11.4,22,0,6.1,Défenseur,Naturel,34.95165906679655,35.508924854903846,1
1355,85.57,10.4,29,0,6.3,Défenseur,Synthétique,23.381184642194675,84.60487996761731,1
2529,96.7,6.4,26,1,5.7,Défenseur,Synthétique,22.999319100347364,76.03123424902745,1
670,77.93,10.3,35,1,7.0,Milieu,Synthétique,30.96473187705402,68.98732702498452,1
2343,95.62,9.7,34,0,5.7,Attaquant,Naturel,19.593537564021087,49.194428427744,0
2576,100.0,7.1,27,0,9.1,Défenseur,Naturel,29.070723541115385,39.491457378136055,0
2023,96.9,9.6,29,0,5.5,Attaquant,Synthétique,21.908437959301146,73.62287350557412,1
2533,94.35,6.6,25,0,6.6,Défenseur,Naturel,11.143447474784198,62.60801521979772,0
2632,100.0,9.2,25,0,5.5,Milieu,Naturel,30.64642321665733,68.57887856335302,1
1964,86.5,6.2,26,0,10.0,Attaquant,Naturel,28.21634389397786,32.25990476120865,0
1316,88.21,10.4,22,1,4.0,Attaquant,Synthétique,14.892898741854118,84.35472122174832,1
2452,89.95,13.2,30,0,7.8,Milieu,Naturel,30.957312478506946,41.411855162866644,1
2896,75.82,13.7,22,1,8.3,Défenseur,Synthétique,11.726405936226408,78.88199960972162,1
2485,100.0,7.6,22,0,9.3,Défenseur,Synthétique,16.601122082784542,38.27330893248792,1
2159,83.37,8.3,27,0,5.8,Défenseur,Naturel,17.25997754510437,81.3001177335102,0
2171,100.0,10.2,24,0,4.0,Attaquant,Synthétique,32.42944372101553,40.9400253506014,1
2711,80.72,13.1,27,0,5.9,Attaquant,Synthétique,28.683112881169624,65.58207777872323,1
1983,92.43,8.6,22,1,5.1,Milieu,Synthétique,31.463177526382665,34.96607807744607,1
1413,82.57,9.8,21,0,7.1,Milieu,Synthétique,11.211381845434147,36.765449086184574,1
2501,91.25,10.7,29,0,7.8,Attaquant,Synthétique,25.23439239262953,77.70281570248022,1
1653,91.16,10.2,25,0,6.5,Attaquant,Naturel,21.09795991921034,60.17011465986483,1
2354,100.0,8.1,20,0,6.9,Attaquant,Naturel,15.587769863376735,49.237812815664796,1
1252,100.0,8.8,25,0,6.9,Attaquant,Mauvais,30.176661566484615,36.778268274724425,1
2212,74.44,7.9,20,0,7.2,Gardien,Naturel,14.569824969920491,88.07996272994066,0
2915,100.0,10.8,24,0,5.3,Attaquant,Naturel,16.251889724673894,66.41992547534306,0
1645,96.54,9.7,30,1,7.5,Gardien,Synthétique,15.993863095910035,85.21868468716431,1
2115,89.71,9.4,26,1,5.1,Défenseur,Mauvais,26.753519360433867,42.06555864337065,1
1314,70.63,11.4,24,1,6.7,Attaquant,Synthétique,34.96932931960945,36.649238851490715,1
2096,100.0,10.4,22,0,5.6,Milieu,Naturel,34.814881656666806,78.80145601264347,1
2215,89.82,8.1,19,1,9.0,Défenseur,Naturel,20.44869318434229,59.60500066810039,1
1686,81.17,5.1,30,1,7.9,Milieu,Naturel,28.36639848489365,74.94083178615196,1
2902,100.0,10.8,23,1,10.0,Milieu,Naturel,23.03046770503294,63.49749589017435,1
1146,81.39,11.7,24,1,9.6,Attaquant,Synthétique,11.53125376941131,87.26254770948773,1
2111,100.0,10.8,31,0,7.2,Milieu,Mauvais,33.70001348169845,41.40800560127599,0
2426,83.2,11.4,18,0,8.2,Milieu,Mauvais,15.555936822029139,56.20577996786596,1
1988,73.2,9.8,27,0,7.1,Attaquant,Synthétique,10.109398715978571,33.52380205826269,1
2763,77.77,11.6,27,0,7.5,Milieu,Naturel,32.19681441455111,33.86205943368586,1
1231,65.02,7.9,25,0,8.0,Attaquant,Naturel,30.585840608551884,48.84287071382971,1
1611,100.0,9.2,32,0,6.9,Défenseur,Naturel,19.225755582623005,47.84058158963313,1
1725,72.89,7.6,20,0,8.0,Milieu,Naturel,25.385915639923006,72.55134158062104,0
1380,79.52,13.9,20,0,7.1,Attaquant,Synthétique,10.647064798754435,50.288971374366824,0
2173,92.81,10.2,24,0,8.3,Attaquant,Synthétique,10.71394488362454,86.20119673249738,1
2839,83.4,9.7,19,0,5.8,Milieu,Naturel,31.265097047384053,83.79394677573674,1
1568,98.56,8.4,30,0,8.5,Gardien,Naturel,14.209064146306709,72.21281014061907,0
1219,81.45,5.4,32,0,5.4,Milieu,Naturel,17.456397757364314,46.36334317982554,1
1615,88.19,9.1,31,1,7.6,Milieu,Synthétique,23.524117234990648,51.93065079636258,1
1326,69.77,10.8,30,1,9.0,Défenseur,Naturel,20.301444022229056,30.72866657177085,1
1677,61.1,9.1,24,0,5.9,Milieu,Synthétique,31.63001002719031,36.096109422626995,1
2488,88.28,12.4,25,0,7.1,Milieu,Naturel,28.73963406563764,59.46305788674843,0
2454,85.22,10.5,33,0,6.6,Milieu,Synthétique,34.01362945798313,88.99400975846369,1
2531,95.96,10.3,25,0,6.6,Milieu,Synthétique,26.293481875190647,66.03399619896095,1
2440,72.65,12.7,21,1,8.5,Attaquant,Naturel,30.433415707267553,80.51135160405707,1
2469,100.0,9.4,26,0,5.2,Attaquant,Synthétique,28.81378445503631,70.98093789218913,1
1468,92.07,8.6,30,0,4.3,Milieu,Naturel,26.7553303384305,40.91240743064345,1
2554,94.1,11.6,25,0,6.7,Milieu,Naturel,32.20341190357995,72.22524194664413,1
1801,95.35,8.9,19,0,8.1,Défenseur,Naturel,33.230937958328255,78.34010110272848,1
2273,82.28,11.9,21,1,6.1,Défenseur,Naturel,14.368170378595998,43.42313615701674,0
1770,78.93,9.2,25,0,6.5,Défenseur,Naturel,10.850668734379639,33.508196908494085,0
2030,97.96,6.4,24,0,8.2,Milieu,Naturel,25.69620236075035,42.6179821897845,1
2930,91.67,9.4,26,0,8.5,Attaquant,Synthétique,32.44338404642731,32.68492214700723,1
873,74.53,7.7,27,1,6.4,Défenseur,Synthétique,16.53453215920657,35.43147846973553,1
1905,94.9,9.5,32,0,6.8,Gardien,Naturel,31.475624482388923,82.49547738996483,0
1828,88.01,13.3,18,0,5.0,Attaquant,Synthétique,20.207317084843346,63.56514676292725,1
2175,100.0,13.5,18,0,7.5,Attaquant,Naturel,20.651450222561504,34.040998516704526,0
1277,85.36,12.6,30,0,7.7,Attaquant,Synthétique,33.729026012176234,82.73705420683308,1
1387,95.85,9.9,31,0,7.5,Milieu,Naturel,12.238181121982553,76.38032398212187,0
1987,82.53,10.4,22,0,7.3,Attaquant,Naturel,34.330095604878395,31.78779740556816,1
2760,100.0,8.2,22,0,7.4,Milieu,Naturel,12.831694030315079,74.96735506747211,0
2064,78.22,9.6,18,0,7.1,Milieu,Naturel,26.331777272423583,33.285504766206536,1
1573,89.27,10.8,30,0,7.5,Attaquant,Mauvais,20.375574539230946,74.88499054771016,1
2897,100.0,12.2,26,0,4.0,Défenseur,Naturel,16.120781337961546,81.95129682685771,1
1642,87.42,8.8,23,0,6.1,Défenseur,Naturel,11.932228004868291,49.47096952233706,0
1464,80.61,6.9,18,0,7.0,Attaquant,Naturel,29.05644266096196,58.61147052260934,0
1578,87.25,6.9,24,0,5.5,Défenseur,Naturel,26.302124196648773,50.51124653983394,1
2231,78.59,5.1,27,0,6.0,Attaquant,Synthétique,34.10700940521235,40.31736599242879,1
2598,76.33,10.1,27,0,9.0,Gardien,Naturel,20.231491534425054,87.78585657076738,1
1538,84.3,8.5,27,0,5.2,Défenseur,Naturel,30.13594973437577,83.45492687932511,1
2708,62.86,11.8,34,0,7.7,Attaquant,Naturel,31.30148868930524,70.94969317461127,0
1120,68.05,14.9,35,1,6.1,Milieu,Naturel,21.490955677738466,55.691478273262284,1
3000,98.15,14.1,33,0,8.5,Milieu,Synthétique,33.77706027081456,62.06468102055209,1
818,98.89,14.3,22,0,7.6,Milieu,Mauvais,22.564084961584847,64.09058545910341,0
2233,100.0,8.3,22,0,7.2,Milieu,Naturel,30.79588952197761,37.795851042786815,1
2471,97.33,8.4,18,0,5.6,Milieu,Naturel,17.502875745006996,89.43412594640759,0
2668,100.0,11.5,26,0,4.8,Milieu,Synthétique,20.87746747620472,84.8328903915388,1
1706,78.09,12.9,26,1,7.7,Défenseur,Synthétique,15.938760885597201,70.3966492731355,1
2288,92.54,10.1,25,1,8.0,Gardien,Mauvais,17.8858508762258,53.65095330188764,1
2390,95.38,12.3,31,0,9.0,Attaquant,Naturel,25.030132424246933,78.53092693973667,0
1309,86.46,8.8,26,0,7.5,Milieu,Mauvais,32.094536205588604,38.13329967083609,1
2503,86.56,10.8,32,0,7.8,Défenseur,Naturel,34.2265158104085,82.43681696998226,0
1424,77.88,9.6,25,0,7.4,Attaquant,Mauvais,28.8212967732288,49.1591797286009,1
2023,92.5,8.3,24,0,9.7,Milieu,Naturel,11.299171431309308,30.670877294381434,0
1975,81.77,6.0,33,0,6.4,Milieu,Mauvais,19.946574656738576,52.30270043237615,1
2128,77.96,11.7,29,0,6.9,Défenseur,Naturel,19.290666568778278,58.75466689166004,1
1164,100.0,10.2,27,1,6.8,Gardien,Naturel,31.035876458091618,39.85640998787376,1
1180,90.8,6.9,28,0,6.3,Gardien,Mauvais,13.063039794836925,36.74143697541777,1
1508,90.61,11.4,29,0,6.4,Milieu,Naturel,20.480221796306786,48.43896221833171,0
2525,89.04,6.2,24,0,7.7,Défenseur,Naturel,33.87196819280828,77.9198683242553,0
2797,100.0,9.9,27,1,8.1,Attaquant,Synthétique,14.285013725905001,34.14384069408672,1
2519,81.08,8.9,30,1,8.7,Milieu,Synthétique,31.33570848145398,34.55774119182954,1
2930,100.0,13.3,32,0,6.2,Gardien,Naturel,22.995595577792436,65.8246368817521,0
2548,99.84,9.9,34,1,7.3,Milieu,Synthétique,20.20276879412192,34.62728122496929,1
1667,96.86,8.6,18,0,7.6,Attaquant,Mauvais,15.03779788655676,59.25871462805709,1
2594,100.0,8.5,24,1,9.7,Milieu,Synthétique,28.507907941277026,73.78018380440062,1
2208,67.6,12.2,23,0,8.2,Attaquant,Naturel,22.63720300836701,35.35041417054107,1
1474,64.88,9.1,29,0,6.6,Gardien,Naturel,21.095561300358533,85.05539515083419,1
2762,85.08,10.9,25,0,5.9,Milieu,Naturel,33.92257610376753,34.463923673827296,1
2842,100.0,8.1,27,0,7.8,Défenseur,Mauvais,11.264981638620652,84.84749925039088,1
1308,67.2,11.5,23,0,6.2,Milieu,Naturel,24.975554257066143,48.85321188353018,0
2831,96.99,12.1,24,0,7.8,Attaquant,Naturel,30.74796912506563,70.69887730623066,0
1935,100.0,9.4,21,0,9.3,Défenseur,Naturel,27.620589651137138,81.71859119633736,1
2740,95.54,8.7,23,0,6.3,Milieu,Mauvais,16.395425027646148,60.72597101255052,0
2640,78.97,5.5,23,1,9.1,Défenseur,Naturel,33.230526713340055,64.16484371852812,1
1881,100.0,11.4,31,0,7.3,Défenseur,Naturel,19.261793233489247,39.71013984378968,0
2692,94.97,9.7,25,0,7.5,Défenseur,Synthétique,27.638139607789043,35.4296742780308,1
1139,83.2,8.2,25,0,7.9,Milieu,Naturel,28.972487104027653,83.72205879560192,1
1663,93.97,6.3,18,0,9.0,Milieu,Naturel,13.217226978815368,48.71983948890021,1
1403,52.59,10.1,22,0,9.1,Milieu,Naturel,23.44135157557739,72.47630700711417,0
1461,81.04,11.0,30,0,9.9,Gardien,Naturel,25.40578664290566,72.01301314856389,1
2013,81.99,11.6,23,0,10.0,Milieu,Synthétique,31.110981440700165,79.1897866951962,1
1593,73.92,8.4,22,0,10.0,Milieu,Mauvais,33.96308692069336,35.093419194586076,1
1859,79.28,9.7,28,1,4.9,Attaquant,Synthétique,17.468167530682855,64.37889034476979,1
1563,89.11,12.5,26,0,7.0,Gardien,Synthétique,18.746974980443383,69.77221299160476,1
1452,83.1,10.6,29,0,4.2,Défenseur,Naturel,23.67856389692027,43.516373530982094,1
1505,91.2,10.0,20,0,4.3,Milieu,Naturel,14.832300272786213,68.32538587716758,0
1933,97.08,13.0,26,0,5.3,Défenseur,Naturel,29.163110405222188,30.630774502554594,1
2566,88.25,10.5,20,0,7.8,Milieu,Naturel,12.985151163907393,31.792442570434474,1
2502,76.99,11.3,22,1,8.8,Défenseur,Naturel,30.559317010942184,80.3920190860118,1
1799,90.78,11.8,32,0,5.7,Défenseur,Mauvais,17.607964911535966,89.87633927716206,1
2233,83.59,8.5,27,0,5.9,Milieu,Naturel,15.807713129705258,60.43480384772921,1
2819,90.6,10.5,28,0,8.2,Milieu,Naturel,26.84913976349309,80.39940332574069,1
1806,83.75,9.0,18,0,6.8,Milieu,Naturel,19.801974502955385,63.38801331478331,1
2899,95.83,7.5,22,0,5.2,Gardien,Naturel,18.379781776820433,76.42459687794681,1
2791,100.0,10.7,23,1,9.4,Milieu,Naturel,20.71840676665574,80.50834666987504,1
2538,100.0,6.5,28,0,7.1,Défenseur,Naturel,18.491361605983734,58.88544042314376,1
2610,84.95,9.6,35,1,8.3,Attaquant,Naturel,27.85114496069085,54.29509564379799,1
2096,85.61,9.6,26,0,8.6,Attaquant,Naturel,33.28118988407455,43.31506522127189,0
2535,92.17,12.4,19,0,4.2,Défenseur,Naturel,14.301240271168696,59.006440265029866,1
2985,100.0,10.9,21,0,8.1,Milieu,Synthétique,32.78195329003253,36.25362444365309,1
2301,86.82,8.8,21,0,6.7,Gardien,Synthétique,24.04586239597817,68.5415330789123,1
2872,90.92,11.4,21,0,6.0,Attaquant,Synthétique,32.266234064030414,80.40418138088071,1
1402,98.74,7.3,20,0,7.5,Milieu,Naturel,29.56222051844236,80.80002384136787,0
1759,79.43,9.3,20,0,9.7,Défenseur,Naturel,18.61182387571585,31.87959174363351,0
3000,92.11,9.7,29,0,7.3,Milieu,Naturel,16.841151288862893,41.79366301603213,1
2264,87.58,9.4,18,0,7.6,Défenseur,Naturel,31.76317940335613,31.342205573558417,1
1806,84.55,10.9,25,0,7.4,Milieu,Naturel,10.350697958577756,85.39060660996338,0
2882,92.95,8.4,23,0,5.6,Milieu,Naturel,22.993455616683562,82.282231099043,1
1414,98.09,9.8,30,0,7.6,Milieu,Naturel,26.10682924623043,73.67007344913574,0
2511,84.31,9.4,30,0,5.9,Attaquant,Synthétique,21.709273935378057,83.78738627407995,1
1758,89.23,14.1,20,0,7.9,Milieu,Synthétique,27.427982693113428,72.49211432251647,0
2767,85.71,11.2,30,1,4.5,Attaquant,Synthétique,19.326047340541912,60.56917492328758,1
2314,91.42,13.1,31,1,5.1,Défenseur,Synthétique,18.963634661711573,74.02505704158555,1
1688,76.31,8.2,28,0,8.7,Attaquant,Synthétique,32.37988657385629,48.97090709773305,0
1582,73.03,7.9,21,1,6.1,Attaquant,Naturel,27.70286405167976,48.5284044233262,0
2402,89.43,9.1,24,0,6.3,Attaquant,Naturel,31.914904939419714,44.6049977458866,0
2568,95.92,6.3,21,0,4.9,Gardien,Synthétique,32.783973871844864,54.469205240737914,0
1085,79.59,9.7,26,1,6.2,Attaquant,Synthétique,16.38448106834408,72.03120579114378,1
1977,94.36,12.0,22,0,7.0,Attaquant,Synthétique,29.975504462613763,48.11880309459009,1
